Names in FOnlineServer
Address   Section   Type        Name                                     Comments
0040DDD0  .text     Debug data  ??$max@I@stlp_std@@YAABIABI0@Z
0040DDF0  .text     Debug data  ??E?$reverse_iterator@PAV?$basic_string@>
0040DE00  .text     Debug data  ??D?$reverse_iterator@PAV?$vector@VNpcBa>
0040DE10  .text     Debug data  ??E?$reverse_iterator@PAV?$vector@VNpcBa>
0040DE40  .text     Debug data  ?get@?$__move_source@V?$basic_string@DV?>
0040DE50  .text     Debug data  ?get@?$__move_source@V?$vector@VNpcBagIt>
0040DE60  .text     Debug data  ??0?$__move_source@V?$_Vector_base@VNpcB>
0040DE70  .text     Debug data  ??0?$__move_source@V?$_String_base@DV?$a>
0040DE80  .text     Debug data  ?_M_move_src@?$_String_base@DV?$allocato>
0040DED0  .text     Debug data  ?get@?$__move_source@V?$_Vector_base@VNp>
0040DEE0  .text     Debug data  ?get@?$__move_source@V?$_String_base@DV?>
0040DEF0  .text     Debug data  ??0?$__move_source@V?$_STLP_alloc_proxy@>
0040DF00  .text     Debug data  ??0?$__move_source@V?$_STLP_alloc_proxy@>
0040DF10  .text     Debug data  ?_M_base@?$_STLP_alloc_proxy@PADDV?$allo>
0040DF20  .text     Debug data  ?_M_base@?$_STLP_alloc_proxy@PAVNpcBagIt>
0040DF30  .text     Debug data  ?get@?$__move_source@V?$_STLP_alloc_prox>
0040DF40  .text     Debug data  ?get@?$__move_source@V?$_STLP_alloc_prox>
0040DF50  .text     Debug data  ??$_Param_Construct_aux@VNpcBagItem@@V1@>
0040DF90  .text     Debug data  ??$__destroy_range_aux@PAV?$basic_string>
0040DFA0  .text     Debug data  ??$__destroy_range_aux@PAV?$vector@VNpcB>
0040DFC0  .text     Debug data  ??$_AsMoveSource@V?$allocator@D@stlp_std>
0040DFD0  .text     Debug data  ??$_AsMoveSource@PAD@priv@stlp_std@@YAAB>
0040DFE0  .text     Debug data  ??$_AsMoveSource@V?$allocator@VNpcBagIte>
0040DFF0  .text     Debug data  ??$_AsMoveSource@PAVNpcBagItem@@@priv@st>
0040E000  .text     Debug data  ??0?$__move_source@V?$basic_string@DV?$c>
0040E010  .text     Debug data  ??0?$__move_source@V?$vector@VNpcBagItem>
0040E030  .text     Debug data
0040E040  .text     Debug data
0040E060  .text     Debug data
0040E090  .text     Debug data
0040E0A0  .text     Debug data
0040E0B0  .text     Debug data  ??$_AsMoveSource@V?$allocator@V?$vector@>
0040E0C0  .text     Debug data  ??$_AsMoveSource@PAV?$vector@VNpcBagItem>
0040E0E0  .text     Debug data
0040E0F0  .text     Debug data  ?base@?$reverse_iterator@PAV?$basic_stri>
0040E100  .text     Debug data  ?base@?$reverse_iterator@PAV?$vector@VNp>
0040E140  .text     Debug data  ??A?$vector@VNpcBagItem@@V?$allocator@VN>
0040E150  .text     Debug data  ??A?$vector@V?$basic_string@DV?$char_tra>
0040E180  .text     Debug data  ??A?$vector@V?$vector@VNpcBagItem@@V?$al>
0040E1A0  .text     Debug data  ??1?$less@V?$basic_string@DV?$char_trait>
0040E230  .text     Debug data  ?get_allocator@?$vector@VNpcBagItem@@V?$>
0040E240  .text     Debug data  ?rbegin@?$vector@VNpcBagItem@@V?$allocat>
0040E250  .text     Debug data  ?rend@?$vector@VNpcBagItem@@V?$allocator>
0040E260  .text     Debug data  ??1?$_Vector_base@VNpcBagItem@@V?$alloca>
0040E310  .text     Debug data
0040E320  .text     Debug data
0040E330  .text     Debug data  ??1?$_Vector_base@V?$basic_string@DV?$ch>
0040E380  .text     Debug data
0040E390  .text     Debug data
0040E3A0  .text     Debug data  ??1?$_Vector_base@V?$vector@VNpcBagItem@>
0040E400  .text     Debug data  ??0?$_STLP_alloc_proxy@PAVNpcBagItem@@V1>
0040E430  .text     Debug data
0040E470  .text     Debug data  ?_M_allocate@?$allocator@VNpcBagItem@@@s>
0040E4E0  .text     Debug data  ?_M_allocate@?$allocator@V?$vector@VNpcB>
0040E550  .text     Debug data  ??$_Copy_Construct@VNpcBagItem@@@stlp_st>
0040E5A0  .text     Debug data  ?_M_compute_next_size@?$vector@VNpcBagIt>
0040E620  .text     Debug data  ??0?$_STLP_alloc_proxy@PADDV?$allocator@>
0040E660  .text     Debug data  ??$__destroy_range@V?$reverse_iterator@P>
0040E670  .text     Debug data  ?c_str@?$basic_string@DV?$char_traits@D@>
0040E690  .text     Debug data  ??1?$_STLP_alloc_proxy@PADDV?$allocator@>
0040E6A0  .text     Debug data  ??$_Destroy_Moved@V?$basic_string@DV?$ch>
0040E6B0  .text     Debug data  ?_M_deallocate_block@?$_String_base@DV?$>
0040E6F0  .text     Debug data  ??$_Destroy_Moved@V?$vector@VNpcBagItem@>
0040E700  .text     Debug data  ?get_allocator@?$basic_string@DV?$char_t>
0040E710  .text     Debug data  ?end@?$basic_string@DV?$char_traits@D@st>
0040E720  .text     Debug data  ?_M_compare@?$basic_string@DV?$char_trai>
0040E770  .text     Debug data  ?max_size@?$_String_base@DV?$allocator@D>
0040E780  .text     Debug data  ?_M_compute_next_size@?$vector@V?$vector>
0040E810  .text     Debug data  ?max_size@?$vector@V?$basic_string@DV?$c>
0040E840  .text     Debug data  ?_M_allocate@?$allocator@D@stlp_std@@QAE>
0040E910  .text     Debug data  ??$_Construct@D@stlp_std@@YAXPAD@Z
0040E920  .text     Debug data  ??$_Param_Construct@VNpcBagItem@@V1@@stl>
0040E970  .text     Debug data  ??$__destroy_mv_srcs@PAV?$basic_string@D>
0040E980  .text     Debug data  ??$__destroy_mv_srcs@PAV?$vector@VNpcBag>
0040E990  .text     Debug data  ??0?$_STLP_alloc_proxy@PADDV?$allocator@>
0040E9A0  .text     Debug data  ??0?$_STLP_alloc_proxy@PAVNpcBagItem@@V1>
0040E9B0  .text     Debug data
0040E9C0  .text     Debug data
0040E9E0  .text     Debug data
0040E9F0  .text     Debug data
0040EA10  .text     Debug data
0040EA40  .text     Debug data
0040EA60  .text     Debug data  ??$?8PAV?$basic_string@DV?$char_traits@D>
0040EA80  .text     Debug data  ??$?8PAV?$vector@VNpcBagItem@@V?$allocat>
0040EAA0  .text     Debug data
0040EB10  .text     Debug data  ??0?$_Vector_base@VNpcBagItem@@V?$alloca>
0040EB70  .text     Debug data  ?allocate@?$_STLP_alloc_proxy@PAVNpcBagI>
0040EB90  .text     Debug data
0040EBB0  .text     Debug data  ??$_Destroy_Range@V?$reverse_iterator@PA>
0040EBD0  .text     Debug data  ??0?$_String_base@DV?$allocator@D@stlp_s>
0040EBE0  .text     Debug data  ?_M_clear@?$vector@VNpcBagItem@@V?$alloc>
0040EC80  .text     Debug data  ?_M_construct_null@?$basic_string@DV?$ch>
0040ECE0  .text     Debug data  ??$__ucopy@PBVNpcBagItem@@PAV1@H@priv@st>
0040ED30  .text     Debug data  ??1?$_String_base@DV?$allocator@D@stlp_s>
0040ED70  .text     Debug data  ??$?MDV?$char_traits@D@stlp_std@@V?$allo>
0040EDD0  .text     Debug data
0040EDE0  .text     Debug data  ??$_Destroy_Moved_Range@PAV?$basic_strin>
0040EDF0  .text     Debug data  ??$_Destroy_Moved_Range@PAV?$vector@VNpc>
0040EE70  .text     Debug data  ?_M_compute_next_size@?$vector@V?$basic_>
0040EEE0  .text     Debug data  ?allocate@?$_STLP_alloc_proxy@PADDV?$all>
0040EFA0  .text     Debug data  ??$_Destroy_Moved_Range@V?$reverse_itera>
0040EFB0  .text     Debug data  ??$_Destroy_Moved_Range@V?$reverse_itera>
0040EFC0  .text     Debug data  ??0?$_String_base@DV?$allocator@D@stlp_s>
0040F020  .text     Debug data  ??0?$_Vector_base@VNpcBagItem@@V?$alloca>
0040F070  .text     Debug data
0040F090  .text     Debug data  ??$?9PAV?$basic_string@DV?$char_traits@D>
0040F0B0  .text     Debug data  ??$?9PAV?$vector@VNpcBagItem@@V?$allocat>
0040F110  .text     Debug data  ??0?$vector@VNpcBagItem@@V?$allocator@VN>
0040F120  .text     Debug data  ??1?$vector@VNpcBagItem@@V?$allocator@VN>
0040F1B0  .text     Debug data  ?allocate@?$_STLP_alloc_proxy@PAVNpcBagI>
0040F1C0  .text     Debug data
0040F1D0  .text     Debug data  ?_M_insert_overflow@?$vector@VNpcBagItem>
0040F2E0  .text     Debug data  ??1?$basic_string@DV?$char_traits@D@stlp>
0040F320  .text     Debug data  ??$__ucopy_ptrs@PBVNpcBagItem@@PAV1@@pri>
0040F350  .text     Debug data  ??R?$less@V?$basic_string@DV?$char_trait>
0040F410  .text     Debug data  ?_M_terminate_string@?$basic_string@DV?$>
0040F420  .text     Debug data  ?allocate@?$_STLP_alloc_proxy@PADDV?$all>
0040F4C0  .text     Debug data  ?_M_clear_after_move@?$vector@V?$basic_s>
0040F510  .text     Debug data  ?_M_clear_after_move@?$vector@V?$vector@>
0040F6B0  .text     Debug data  ??_G?$basic_string@DV?$char_traits@D@stl>
0040F700  .text     Debug data  ??_G?$vector@VNpcBagItem@@V?$allocator@V>
0040F750  .text     Debug data  ??0?$basic_string@DV?$char_traits@D@stlp>
0040F7B0  .text     Debug data  ??0?$vector@VNpcBagItem@@V?$allocator@VN>
0040F830  .text     Debug data  ?push_back@?$vector@VNpcBagItem@@V?$allo>
0040F880  .text     Debug data  ??0?$_Vector_base@VNpcBagItem@@V?$alloca>
0040F920  .text     Debug data  ?_M_allocate_block@?$_String_base@DV?$al>
0040F9D0  .text     Debug data  ??$__destroy_aux@V?$basic_string@DV?$cha>
0040FA10  .text     Debug data  ??$_Move_Construct_Aux@V?$basic_string@D>
0040FA30  .text     Debug data  ??$__destroy_aux@V?$vector@VNpcBagItem@@>
0040FA70  .text     Debug data  ??$_Move_Construct_Aux@V?$vector@VNpcBag>
0040FAD0  .text     Debug data  ??$__destroy_range_aux@PAV?$basic_string>
0040FB30  .text     Debug data  ??$__destroy_range_aux@PAV?$vector@VNpcB>
0040FB80  .text     Debug data  ??0?$vector@VNpcBagItem@@V?$allocator@VN>
0040FC40  .text     Debug data  ?_M_range_initialize@?$basic_string@DV?$>
0040FC80  .text     Debug data  ??0?$basic_string@DV?$char_traits@D@stlp>
0040FCD0  .text     Debug data  ??$_Destroy@V?$basic_string@DV?$char_tra>
0040FD10  .text     Debug data  ??$_Move_Construct@V?$basic_string@DV?$c>
0040FD30  .text     Debug data  ??$_Destroy@V?$vector@VNpcBagItem@@V?$al>
0040FD70  .text     Debug data  ??$_Move_Construct@V?$vector@VNpcBagItem>
0040FE30  .text     Debug data  ??$__uninitialized_move@PAV?$basic_strin>
0040FEC0  .text     Debug data  ??$__uninitialized_move@PAV?$vector@VNpc>
0040FF20  .text     Debug data
0040FF80  .text     Debug data
0040FFD0  .text     Debug data  ??$_Copy_Construct_aux@V?$basic_string@D>
0040FFF0  .text     Debug data  ??$_Copy_Construct_aux@V?$vector@VNpcBag>
00410010  .text     Debug data  ??$__destroy_range@PAV?$basic_string@DV?>
00410030  .text     Debug data  ??$__destroy_range@PAV?$vector@VNpcBagIt>
00410050  .text     Debug data  ??$_Param_Construct_aux@V?$vector@VNpcBa>
00410070  .text     Debug data  ??$_Param_Construct_aux@V?$basic_string@>
00410090  .text     Debug data  ?ParseBagItems@@YA?AV?$vector@VNpcBagIte>
00410480  .text     Debug data  ??0?$basic_string@DV?$char_traits@D@stlp>
00410540  .text     Debug data
00410570  .text     Debug data
004105A0  .text     Debug data  ??$_Copy_Construct@V?$basic_string@DV?$c>
004105C0  .text     Debug data  ??$_Copy_Construct@V?$vector@VNpcBagItem>
004105E0  .text     Debug data  ??$_Destroy_Range@PAV?$basic_string@DV?$>
00410600  .text     Debug data  ??$_Destroy_Range@PAV?$vector@VNpcBagIte>
00410620  .text     Debug data  ??$_Param_Construct@V?$vector@VNpcBagIte>
00410640  .text     Debug data  ??$__ufill@PAV?$vector@VNpcBagItem@@V?$a>
00410740  .text     Debug data  ??$_Param_Construct@V?$basic_string@DV?$>
00410760  .text     Debug data  ?ParseBagComb@@YA?AV?$basic_string@DV?$c>
00410790  .text     Debug data  ??$_Destroy_Range@V?$reverse_iterator@PA>
004107C0  .text     Debug data  ??$_Destroy_Range@V?$reverse_iterator@PA>
004107F0  .text     Debug data
00410960  .text     Debug data
00410A90  .text     Debug data  ??$__ucopy@PBV?$vector@VNpcBagItem@@V?$a>
00410B90  .text     Debug data  ??$__uninitialized_fill_n@PAV?$vector@VN>
00410BC0  .text     Debug data  ??$__ufill@PAV?$basic_string@DV?$char_tr>
00410C00  .text     Debug data  ??1?$vector@V?$basic_string@DV?$char_tra>
00410C70  .text     Debug data  ??1?$vector@V?$vector@VNpcBagItem@@V?$al>
00410CE0  .text     Debug data  ??$__ucopy_ptrs@PBV?$vector@VNpcBagItem@>
00410D10  .text     Debug data
00410D30  .text     Debug data
00410D50  .text     Debug data
00410EA0  .text     Debug data  ??$__uninitialized_fill_n@PAV?$basic_str>
00410EF0  .text     Debug data  ??_G?$vector@V?$vector@VNpcBagItem@@V?$a>
00410F70  .text     Debug data  ??0?$vector@V?$vector@VNpcBagItem@@V?$al>
00411020  .text     Debug data  ?clear@?$vector@V?$basic_string@DV?$char>
00411040  .text     Debug data  ?clear@?$vector@V?$vector@VNpcBagItem@@V>
00411060  .text     Debug data
004110F0  .text     Debug data
00411240  .text     Debug data
004112C0  .text     Debug data
00411340  .text     Debug data
00411360  .text     Debug data
00411380  .text     Debug data
00411560  .text     Debug data
004115A0  .text     Debug data
00411A10  .text     Debug data
00411A40  .text     Debug data
00412A90  .text     Debug data  ??0NpcAIMngr@@QAE@XZ
00412AA0  .text     Debug data  ??1NpcAIMngr@@QAE@XZ
00412BD0  .text     Debug data  ?Finish@NpcAIMngr@@QAEXXZ
00412CF0  .text     Debug data  ?LoadNpcBags@NpcAIMngr@@AAE_NXZ
